Length,Width,Layer Number
317.24875,173.2406,13.67977
160.84056,96.61119,13.74497
194.28456,151.12637,13.92117
300.79623,188.27321,14.02134
322.70612,144.05869,14.14617
188.74948,116.97948,14.18461
209.08281,134.23958,14.25898
385.97718,245.9954,14.43185
400.03804,284.72366,14.46844
295.37044,79.83438,14.48161
250.98337,134.2597,14.56544
280.02376,96.26706,14.75616
307.75632,256.67901,14.90471
187.96771,153.84253,14.95332
200.64265,144.59502,15.24048
195.32502,169.82885,15.30058
387.56165,179.3075,15.31514
199.40275,183.43694,15.32207
233.94756,85.23725,15.36172
201.59316,188.73268,15.3933
253.38369,122.5998,15.43002
234.44429,198.61791,15.48207
326.10665,169.60817,15.51204
318.75891,224.76327,15.55558
289.02366,206.09617,15.5686
159.01713,51.2477,16.05428
673.47043,474.1703,16.09429
247.11163,109.23108,16.12238
130.96487,98.94075,16.24368
158.64529,115.78017,16.2768
241.32928,171.59088,16.2901
421.90753,307.89827,16.37609
252.94898,167.59637,16.96466
327.50541,197.86303,17.01399
200.81603,181.35313,17.01584
233.25601,134.9859,17.16233
179.08838,113.48721,17.2549
233.71371,98.16442,17.54049
327.65284,178.8507,17.55742
309.35568,53.06941,17.60163
237.7019,159.33932,17.74227
374.61605,170.6748,17.76146
170.43219,78.01652,18.05224
259.00567,125.20548,18.24921
186.69606,112.67135,18.26864
189.22805,76.51794,18.31271
384.86157,213.66616,18.50438
692.8348,340.19449,18.73249
306.16689,124.34549,18.73836
295.2435,65.84202,18.76864
431.44738,238.19092,18.81253
276.63045,243.56149,19.01365
240.10874,148.73604,19.29661
226.06637,169.2393,19.42848
391.19576,210.04473,20.00709
410.30514,311.56281,20.03176
392.79734,165.13635,20.05944
472.26531,194.88058,20.35456
226.00993,147.60603,20.61482
223.14142,130.85737,20.64768
211.97711,124.04462,21.16838
312.88672,171.41375,21.2014
234.74874,189.4687,21.53281
257.54113,142.55424,21.73254
357.59881,177.96566,22.00398
258.21428,116.19085,22.13216
414.20728,345.4747,22.28678
207.8671,159.49335,22.45801
353.48176,178.76951,22.48024
559.75411,176.73476,22.48094
418.88392,199.28131,22.77325
399.89073,328.82431,23.55221
408.08289,216.68189,23.58937
371.36491,216.79257,24.36065
367.10166,154.43226,24.59758
275.2564,206.69261,25.96589
274.11988,169.59949,26.33907
353.33795,310.05034,34.24783
