Length / nm,Width / nm,Layer Number
47,30,2.36842
40,30,2.36842
38,25,2.36842
72,32,2.36842
60,40,2.36842
58,25,2.36842
65,30,2.36842
60,57,2.36842
130,75,2.36842
175,60,2.36842
75,35,2.36842
60,40,2.36842
45,30,2.36842
75,35,2.36842
100,45,2.36842
40,30,2.36842
60,35,2.36842
90,50,2.36842
80,55,2.36842
80,40,2.36842
65,58,2.36842
40,30,2.36842
130,95,2.36842
80,50,2.36842
27,25,2.36842
46,36,2.36842
90,70,2.36842
130,55,2.36842
75,48,2.36842
48,40,2.36842
50,40,2.36842
165,90,2.36842
70,50,2.36842
60,40,2.36842
35,30,2.36842
65,45,2.36842
60,40,2.36842
40,30,2.36842
47,40,2.36842
220,140,2.36842
75,45,2.36842
55,40,2.63158
30,25,2.63158
150,40,2.63158
50,40,2.63158
40,30,2.63158
65,30,2.63158
150,135,2.63158
45,35,2.63158
65,45,2.63158
39,35,2.63158
50,38,2.63158
80,70,2.63158
150,40,2.63158
80,30,2.63158
55,50,2.63158
42,30,2.63158
60,42,2.63158
35,30,2.63158
30,25,2.63158
70,28,2.63158
57,55,2.63158
125,55,2.63158
70,45,2.63158
45,30,2.63158
70,55,2.63158
100,45,2.63158
85,45,2.63158
32,26,2.63158
47,30,2.63158
58,35,2.63158
40,35,2.63158
80,50,2.63158
70,50,2.63158
50,35,2.63158
160,85,2.63158
48,40,2.63158
240,155,2.63158
50,40,2.63158
90,65,2.63158
55,38,2.63158
200,150,2.63158
75,30,2.63158
105,80,2.63158
45,37,2.63158
85,50,2.63158
50,40,2.63158
37,30,2.63158
45,25,2.63158
50,47,2.63158
55,40,2.63158
60,50,2.63158
90,67,2.63158
40,35,2.63158
40,30,2.63158
45,40,2.63158
100,27,2.63158
25,20,2.63158
75,65,2.63158
50,30,2.63158
140,30,2.63158
65,50,2.63158
80,65,2.63158
125,75,2.63158
58,32,2.63158
40,33,2.63158
40,34,2.63158
83,45,2.63158
34,25,2.63158
90,70,2.63158
230,90,2.63158
50,40,2.63158
70,47,2.63158
70,50,2.63158
52,27,2.63158
50,30,2.63158
100,80,2.63158
70,50,2.63158
45,40,2.63158
25,20,2.63158
48,40,2.63158
150,38,2.63158
50,30,2.63158
53,50,2.63158
90,65,2.63158
52,38,2.63158
50,40,2.63158
75,35,2.63158
65,40,2.63158
50,40,2.63158
75,50,2.63158
80,70,2.89474
47,40,2.89474
70,35,2.89474
47,45,2.89474
55,45,2.89474
90,42,2.89474
85,35,2.89474
100,38,2.89474
110,55,2.89474
70,40,2.89474
50,40,2.89474
160,75,2.89474
47,35,2.89474
75,60,2.89474
135,40,2.89474
30,27,2.89474
80,40,2.89474
35,30,2.89474
120,55,2.89474
38,30,2.89474
42,35,2.89474
55,35,2.89474
65,48,2.89474
40,35,2.89474
110,45,3.15789
50,40,3.15789
50,40,3.15789
105,75,3.15789
115,50,3.15789
40,37,3.15789
95,55,3.15789
80,40,3.15789
50,35,3.15789
78,50,3.15789
50,38,3.15789
60,40,3.15789
140,110,3.15789
55,42,3.15789
175,40,3.15789
130,70,3.15789
65,60,3.15789
60,45,3.15789
80,70,3.15789
65,50,3.15789
80,70,3.15789
45,43,3.15789
45,40,3.15789
90,65,3.15789
40,35,3.15789
70,55,3.15789
70,40,3.15789
70,65,3.15789
80,65,3.15789
80,40,3.15789
125,115,3.15789
50,37,3.15789
80,70,3.15789
60,50,3.15789
75,50,3.15789
240,60,3.15789
120,70,3.15789
80,38,3.15789
58,45,3.15789
53,43,3.15789
70,68,3.15789
210,140,3.15789
160,140,3.15789
70,40,3.15789
140,75,3.15789
85,50,3.15789
150,30,3.15789
65,45,3.15789
65,40,3.15789
310,55,3.15789
150,110,3.15789
55,35,3.15789
138,80,3.15789
28,20,3.15789
78,45,3.15789
80,35,3.15789
160,75,3.15789
60,30,3.15789
45,40,3.15789
75,70,3.15789
65,55,3.15789
80,60,3.15789
40,40,3.15789
90,60,3.15789
125,100,3.15789
75,40,3.15789
230,130,3.15789
68,50,3.15789
160,110,3.15789
60,50,3.15789
170,125,3.15789
80,60,3.42105
75,60,3.42105
54,28,3.42105
110,35,3.42105
