# Length, Width, Layers, 900 rpm Fraction, 1800 rpm Fraction, 2900 rpm Fraction, 6500 rpm Fraction, 9000 rpm Fraction, Sed 1800 Weighting, Sed 2900 Weighting, Sed 6500 Weighting, Sed 9000 Weighting
1.100000000000000000e+02,6.500000000000000000e+01,1.052629999999999955e+00,9.814644613302027087e-01,9.261966790616406042e-01,8.102837007246600498e-01,1.049668286892242730e-01,0.000000000000000000e+00,7.243533662914702909e-02,1.724576414717857720e-01,6.592559105317753465e-01,7.731557269749460282e-02
5.500000000000000000e+01,2.500000000000000000e+01,1.052629999999999955e+00,9.918646509834151415e-01,9.675239507966111319e-01,9.160619693858780277e-01,5.898804189863976477e-01,2.381373835842835462e-01,3.221184520843956012e-02,8.055136659006789657e-02,3.605367139069691751e-01,3.950750783811474154e-01
4.800000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.916747116299395870e-01,9.667672789362218300e-01,9.141148240108176726e-01,5.806373335495831345e-01,2.215303472559951303e-01,3.295604907760041336e-02,8.233972105742115577e-02,3.675206097263027383e-01,3.961307688278075667e-01
8.500000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.889238300205223098e-01,9.558164109277326181e-01,8.859785047812136494e-01,4.484181638429150518e-01,0.000000000000000000e+00,4.369420412939950538e-02,1.077764952691998568e-01,4.619239354839393408e-01,3.755291951379836068e-01
4.000000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.937936124371018476e-01,9.752124898925226271e-01,9.358689862319012898e-01,6.845939992717403610e-01,4.097425680210293186e-01,2.463366921303111745e-02,6.215320966239268330e-02,2.860753664662910589e-01,3.665093541769146590e-01
7.500000000000000000e+01,5.000000000000000000e+01,1.052629999999999955e+00,9.865707779174112124e-01,9.464610713232447514e-01,8.620061341314864123e-01,3.377314398233806081e-01,0.000000000000000000e+00,5.281994251349120262e-02,1.288518875353410476e-01,5.330592672925995590e-01,2.718396805759793478e-01
1.100000000000000000e+02,4.000000000000000000e+01,1.052629999999999955e+00,9.854547373515150088e-01,9.420276913551310916e-01,8.506666685753648816e-01,2.859973120571547844e-01,0.000000000000000000e+00,5.712908618929024573e-02,1.386299621349986744e-01,5.638448446223166544e-01,2.258508444049094344e-01
5.000000000000000000e+01,4.500000000000000000e+01,1.052629999999999955e+00,9.895951738734731773e-01,9.584875600697674303e-01,8.928340358354153183e-01,4.804032144445026797e-01,4.303902637450142399e-02,4.108051021067060660e-02,1.016484884556709822e-01,4.400289424333041488e-01,3.893273543823455030e-01
7.000000000000000000e+01,4.000000000000000000e+01,1.052629999999999955e+00,9.883940803062167824e-01,9.537092643673505954e-01,8.805739115023456520e-01,4.233067708682104469e-01,0.000000000000000000e+00,4.575348907233067752e-02,1.125758786701792635e-01,4.786926994767148336e-01,3.513720130869920077e-01
5.500000000000000000e+01,4.000000000000000000e+01,1.052629999999999955e+00,9.897113340007143156e-01,9.589498291455287315e-01,8.940209460726453727e-01,4.859558863795865880e-01,5.285025940359887320e-02,4.062781935733594807e-02,1.005829729799538885e-01,4.361667088458157093e-01,3.905418827923179959e-01
3.000000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.946247425098260209e-01,9.785275066608928318e-01,9.444214572987474909e-01,7.258806471278111960e-01,4.853639652538948024e-01,2.135707315845347676e-02,5.409279872079375551e-02,2.519636207136320971e-01,3.433709519952500289e-01
5.000000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.915031583205637933e-01,9.660839136898744517e-01,9.123566532752922509e-01,5.723016974809883584e-01,2.065750679876644236e-01,3.362790669436233060e-02,8.395139279729180171e-02,3.737757509519890053e-01,3.968299784883440595e-01
6.000000000000000000e+01,4.000000000000000000e+01,1.052629999999999955e+00,9.892542439314534475e-01,9.571309539286420032e-01,8.893516868530603192e-01,4.641375280752332855e-01,1.435032433871487843e-02,4.240838575938388200e-02,1.047668970169060021e-01,4.512385136804455410e-01,3.852317602887673775e-01
4.000000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.937936124371018476e-01,9.752124898925226271e-01,9.358689862319012898e-01,6.845939992717403610e-01,4.097425680210293186e-01,2.463366921303111745e-02,6.215320966239268330e-02,2.860753664662910589e-01,3.665093541769146590e-01
6.000000000000000000e+01,2.500000000000000000e+01,1.052629999999999955e+00,9.915031583205637933e-01,9.660839136898744517e-01,9.123566532752922509e-01,5.723016974809883584e-01,2.065750679876644236e-01,3.362790669436233060e-02,8.395139279729180171e-02,3.737757509519890053e-01,3.968299784883440595e-01
5.000000000000000000e+01,4.000000000000000000e+01,1.052629999999999955e+00,9.901897548327326382e-01,9.608540255851790723e-01,8.989116429945142039e-01,5.088827723670084069e-01,9.345590726317444530e-02,3.876194280849998286e-02,9.617827432685388533e-02,4.200277818883343950e-01,3.945477117592383620e-01
7.500000000000000000e+01,3.500000000000000000e+01,1.052629999999999955e+00,9.887622752976024110e-01,9.551737479977429057e-01,8.843298272409804150e-01,4.407481812994361037e-01,0.000000000000000000e+00,4.432250692281547444e-02,1.092435111684000315e-01,4.670850258145758382e-01,3.681112313918110668e-01
7.000000000000000000e+01,4.500000000000000000e+01,1.052629999999999955e+00,9.876907773555078096e-01,9.509126415530589904e-01,8.734055457867688776e-01,3.901416003271542809e-01,0.000000000000000000e+00,4.848313122278757881e-02,1.188984793550652563e-01,5.002724356879861833e-01,3.200367310896687911e-01
3.700000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.926900251807191378e-01,9.708128654254908341e-01,9.245298650610886959e-01,6.302183813094257570e-01,3.109037815364198987e-01,2.897377735572259638e-02,7.273179526617379320e-02,3.294696730953365904e-01,3.869377111396994362e-01
5.000000000000000000e+01,3.500000000000000000e+01,1.052629999999999955e+00,9.908228768238570572e-01,9.633746522298961557e-01,9.053893557062865360e-01,5.393659164886067670e-01,1.476817927100271544e-01,3.628923244224857569e-02,9.030904309497034266e-02,3.980913071616697940e-01,3.972938936067626492e-01
1.270000000000000000e+02,7.500000000000000000e+01,1.052629999999999955e+00,9.786113998470189479e-01,9.148966287562023680e-01,7.815624906257293558e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.328312926459335852e-02,1.955732774983981459e-01,6.997549930840274435e-01,0.000000000000000000e+00
