Length / nm,Width / nm,Layer Number
217.65108,114.55042,12.07011
186.2368,95.4795,12.15959
210.54865,115.25348,12.15959
299.8384,146.61436,12.16542
271.27467,125.34701,12.16542
124.27129,59.52414,12.20727
145.48486,77.50035,12.20727
134.65585,115.95635,12.29427
156.38865,136.75417,12.29427
246.04917,252.33682,12.34881
273.35163,279.95366,12.34881
447.10122,185.20426,12.56718
411.52497,162.09929,12.56718
132.32704,76.81795,12.75783
153.94339,95.65884,12.75783
239.77922,115.42019,12.93134
266.76818,136.1912,12.93134
254.17359,125.0606,12.99972
227.78437,104.81962,12.99972
348.83621,84.50189,13.12701
317.93925,66.19227,13.12701
124.55448,77.93221,13.13023
145.78221,96.82882,13.13023
727.51026,184.46875,13.52988
678.5812,161.39881,13.52988
215.95818,162.67524,13.79275
241.75609,185.809,13.79275
275.88077,200.27887,13.97825
248.45788,176.45606,13.97825
437.51423,199.88151,14.04566
474.38994,224.87559,14.04566
301.84756,164.77341,14.2305
273.18816,142.64134,14.2305
291.5731,207.26713,14.32931
321.15176,232.63048,14.32931
208.28358,68.19553,14.37006
233.69776,86.60531,14.37006
195.06466,78.16126,14.45817
219.81789,97.06932,14.45817
311.08576,122.64836,15.22223
281.98644,102.52225,15.22223
496.47408,153.64334,15.69675
458.54674,132.04127,15.69675
290.4876,180.7981,16.5039
262.36914,157.90295,16.5039
416.40476,305.07605,16.81767
382.29025,276.2629,16.81767
312.35035,229.58959,17.04204
283.1908,204.37104,17.04204
223.24356,116.16827,17.94072
198.3272,96.35073,17.94072
273.06518,174.08209,17.98538
245.77636,151.50676,17.98538
193.12733,177.33378,18.51622
217.7837,201.20047,18.51622
273.41077,146.88536,21.37171
246.10549,125.6051,21.37171
445.65329,261.2745,26.73796
410.14599,234.54715,26.73796
386.39807,137.59332,28.6545
353.71245,116.75555,28.6545
203.18298,94.7447,37.80936
228.34213,114.48193,37.80936
